Transaction Date,Transaction Description,Transaction Type,Debit,Credit,Balance
04/30/2025,Interest Paid,Credit,0,$0.01,$0.01
04/11/2025,Transfer To CHECKING 5195,Debit,$0.91,0,$0.00
03/31/2025,Interest Paid,Credit,0,$0.01,$0.91
03/07/2025,Transfer To CHECKING 5195,Debit,$12.00,0,$0.90
03/05/2025,Transfer To CHECKING 5195,Debit,$15.00,0,$12.90
03/04/2025,Transfer To CHECKING 5195,Debit,$6.00,0,$27.90
03/01/2025,Transfer To CHECKING 5195,Debit,$5.00,0,$33.90
02/28/2025,Interest Paid,Credit,0,$0.40,$38.90
02/28/2025,Transfer To CHECKING 5195,Debit,$14.00,0,$38.50
02/26/2025,Transfer To CHECKING 5195,Debit,$4.00,0,$52.50
02/25/2025,Transfer To CHECKING 5195,Debit,$15.00,0,$56.50
02/23/2025,Transfer To CHECKING 5195,Debit,$4.00,0,$71.50
02/23/2025,Transfer To CHECKING 5195,Debit,$4.50,0,$75.50
02/21/2025,Transfer To CHECKING 5195,Debit,$3.00,0,$80.00
02/21/2025,Transfer To CHECKING 5195,Debit,$15.00,0,$83.00
02/20/2025,Transfer To CHECKING 5195,Debit,$4.00,0,$98.00
02/20/2025,Transfer To CHECKING 5195,Debit,$2.00,0,$102.00
02/20/2025,Transfer To CHECKING 5195,Debit,$11.00,0,$104.00
02/18/2025,Transfer To CHECKING 5195,Debit,$10.00,0,$115.00
02/18/2025,Transfer To CHECKING 5195,Debit,$10.00,0,$125.00
02/17/2025,Transfer To CHECKING 5195,Debit,$30.00,0,$135.00
02/14/2025,Transfer To CHECKING 5195,Debit,$10.00,0,$165.00
02/13/2025,Transfer To CHECKING 5195,Debit,$20.00,0,$175.00
02/12/2025,Transfer To CHECKING 5195,Debit,$5.00,0,$195.00
02/12/2025,Transfer To CHECKING 5195,Debit,$34.48,0,$200.00
02/11/2025,Transfer To CHECKING 5195,Debit,$3.00,0,$234.48
02/11/2025,Transfer To CHECKING 5195,Debit,$25.00,0,$237.48
02/11/2025,Early Pay Tax Refund ACH from IRS TREAS 310,Credit,0,$104.00,$262.48
02/11/2025,Transfer To CHECKING 5195,Debit,$6.00,0,$158.48
02/10/2025,Transfer To CHECKING 5195,Debit,$2.00,0,$164.48
02/09/2025,Transfer To CHECKING 5195,Debit,$7.00,0,$166.48
02/07/2025,Transfer To CHECKING 5195,Debit,$3.00,0,$173.48
02/05/2025,Transfer To CHECKING 5195,Debit,$9.00,0,$176.48
02/04/2025,Transfer To CHECKING 5195,Debit,$60.00,0,$185.48
02/01/2025,Transfer To CHECKING 5195,Debit,$45.00,0,$245.48
01/31/2025,Interest Paid,Credit,0,$1.47,$290.48
01/28/2025,Transfer To CHECKING 5195,Debit,$33.00,0,$289.01
01/27/2025,Transfer To CHECKING 5195,Debit,$62.52,0,$322.01
01/26/2025,Transfer To CHECKING 5195,Debit,$50.00,0,$384.53
01/24/2025,Transfer To CHECKING 5195,Debit,$7.00,0,$434.53
01/17/2025,Transfer To CHECKING 5195,Debit,$66.17,0,$441.53
01/14/2025,Transfer To CHECKING 5195,Debit,$9.50,0,$507.70
01/12/2025,Transfer To CHECKING 5195,Debit,$55.00,0,$517.20
01/12/2025,Transfer To CHECKING 5195,Debit,$15.00,0,$572.20
01/10/2025,Transfer To CHECKING 5195,Debit,$15.61,0,$587.20
01/07/2025,Transfer To CHECKING 5195,Debit,$60.00,0,$602.81
01/07/2025,Transfer To CHECKING 5195,Debit,$40.00,0,$662.81
01/06/2025,Transfer To CHECKING 5195,Debit,$10.00,0,$702.81
01/03/2025,Transfer To CHECKING 5195,Debit,$20.00,0,$712.81
01/03/2025,ACH Deposit From Wells Fargo Bank NA,Credit,0,$220.00,$732.81
01/01/2025,Zelle Payment From HUGO GARZA ZB61ZFP6C,Credit,0,$500.00,$512.81
12/31/2024,Interest Paid,Credit,0,$0.81,$12.81
12/30/2024,Transfer To CHECKING 5195,Debit,$30.00,0,$12.00
12/23/2024,Transfer To CHECKING 5195,Debit,$78.00,0,$42.00
12/23/2024,Transfer To CHECKING 5195,Debit,$5.00,0,$120.00
12/19/2024,Transfer To CHECKING 5195,Debit,$75.00,0,$125.00
12/13/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$250.00,0,$200.00
12/09/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$27.18,0,$450.00
12/02/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$50.00,0,$477.18
12/02/2024,ACH Withdrawal WELLS FARGO IFI DDA TO DDA,Debit,$20.00,0,$527.18
11/30/2024,Interest Paid,Credit,0,$2.18,$547.18
11/28/2024,Transfer To CHECKING 5195,Debit,$5.00,0,$545.00
11/25/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$50.00,0,$550.00
11/19/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$50.47,0,$600.00
11/18/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$50.00,0,$650.47
11/12/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$42.00,0,$700.47
11/08/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$50.00,0,$742.47
11/04/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$50.00,0,$792.47
10/31/2024,Interest Paid,Credit,0,$4.14,$842.47
10/28/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$50.00,0,$838.33
10/24/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$150.00,0,$888.33
10/21/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$50.00,0,$1038.33
10/15/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$100.00,0,$1088.33
10/15/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$65.05,0,$1188.33
10/11/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$300.00,0,$1253.38
10/09/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$84.00,0,$1553.38
10/01/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$100.00,0,$1637.38
09/30/2024,Interest Paid,Credit,0,$3.88,$1737.38
09/26/2024,ACH Withdrawal Wells Fargo Bank NA,Debit,$150.00,0,$1733.50
09/26/2024,ACH Deposit From WELLS FARGO IFI DDA TO DDA,Credit,0,$650.00,$1883.50
09/24/2024,ACH Deposit From WELLS FARGO IFI DDA TO DDA,Credit,0,$219.53,$1233.50
08/31/2024,Interest Paid,Credit,0,$3.20,$1013.97
08/22/2024,ACH Deposit From WELLS FARGO IFI DDA TO DDA,Credit,0,$128.04,$1010.77
08/09/2024,ACH Deposit From WELLS FARGO IFI DDA TO DDA,Credit,0,$76.12,$882.73
07/31/2024,Interest Paid,Credit,0,$2.85,$806.61
06/30/2024,Interest Paid,Credit,0,$2.09,$803.76
06/20/2024,ACH Deposit From WELLS FARGO IFI DDA TO DDA,Credit,0,$300.00,$801.67
05/31/2024,Interest Paid,Credit,0,$1.67,$501.67
05/09/2024,ACH Deposit From WELLS FARGO IFI DDA TO DDA,Credit,0,$112.28,$500.00
04/30/2024,Interest Paid,Credit,0,$0.72,$387.72
04/19/2024,Early Pay Tax Refund ACH from IRS TREAS 310,Credit,0,$167.00,$387.00
04/15/2024,ACH Deposit From WELLS FARGO IFI DDA TO DDA,Credit,0,$100.00,$220.00
04/10/2024,ACH Deposit From WELLS FARGO IFI DDA TO DDA,Credit,0,$80.00,$120.00
04/05/2024,ACH Deposit From WELLS FARGO IFI DDA TO DDA,Credit,0,$40.00,$40.00
04/03/2024,ACH Withdrawal WELLS FARGO IFI ACCTVERIFY,Debit,$0.69,0,$0.00
04/03/2024,ACH Deposit From WELLS FARGO IFI ACCTVERIFY,Credit,0,$0.26,$0.69
04/03/2024,ACH Deposit From WELLS FARGO IFI ACCTVERIFY,Credit,0,$0.43,$0.43
